"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1960-01","1960","01","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1960-02","1960","02","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1960-03","1960","03","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1960-04","1960","04","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1960-05","1960","05","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1960-06","1960","06","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1960-07","1960","07","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1960-08","1960","08","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1960-09","1960","09","","","","","","","","","","","29.5","","0.0","","29.5","","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1960-10","1960","10","","","","","","","","","","","81.3","","0.0","T","81.3","","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1960-11","1960","11","","","","","","","","","","","42.2","","8.9","","51.1","","10","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1960-12","1960","12","","","","","","","","","","","16.3","","24.6","","40.9","","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1961-01","1961","01","","","","","","","","","","","","M","20.3","","","M","8","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1961-02","1961","02","","","","","","","","","","","62.5","","4.6","","67.1","","0","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1961-03","1961","03","","","","","","","","","","","13.7","","37.8","","51.6","","0","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1961-04","1961","04","","","","","","","","","","","71.1","","12.2","","83.3","","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1961-05","1961","05","","","","","","","","","","","110.5","","0.0","","110.5","","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1961-06","1961","06","","","","","","","","","","","72.9","","0.0","","72.9","","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1961-07","1961","07","","","","","","","","","","","34.5","","0.0","","34.5","","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1961-08","1961","08","","","","","","","","","","","37.6","","0.0","","37.6","","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1961-09","1961","09","","","","","","","","","","","41.1","","0.0","","41.1","","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1961-10","1961","10","","","","","","","","","","","58.4","","0.0","","58.4","","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1961-11","1961","11","","","","","","","","","","","79.0","","2.5","","81.5","","0","T","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1961-12","1961","12","","","","","","","","","","","41.9","","33.5","","75.4","","20","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1962-01","1962","01","","","","","","","","","","","","M","","M","","M","18","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1962-02","1962","02","","","","","","","","","","","11.2","","79.5","","90.7","","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1962-03","1962","03","","","","","","","","","","","14.0","","35.8","","49.8","","5","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1962-04","1962","04","","","","","","","","","","","52.6","","8.4","","61.0","","0","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1962-05","1962","05","","","","","","","","","","","53.8","","0.0","T","53.8","","0","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1962-06","1962","06","","","","","","","","","","","59.7","","0.0","","59.7","","0","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1962-07","1962","07","","","","","","","","","","","101.6","","0.0","","101.6","","0","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1962-08","1962","08","","","","","","","","","","","70.4","","0.0","","70.4","","0","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1962-09","1962","09","","","","","","","","","","","116.3","","0.0","","116.3","","0","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1962-10","1962","10","","","","","","","","","","","87.4","","0.0","T","87.4","","0","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1962-11","1962","11","","","","","","","","","","","36.3","","8.9","","45.2","","0","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1962-12","1962","12","","","","","","","","","","","22.6","","","M","","M","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1963-01","1963","01","","","","","","","","","","","0.0","T","","M","","M","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1963-02","1963","02","","","","","","","","","","","0.0","T","20.6","","20.6","","48","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1963-03","1963","03","","","","","","","","","","","29.7","","34.3","","64.3","","","M","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1963-04","1963","04","","","","","","","","","","","74.9","","0.0","T","74.9","","0","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1963-05","1963","05","","","","","","","","","","","70.6","","2.5","","73.2","","0","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1963-06","1963","06","","","","","","","","","","","44.7","","0.0","","44.7","","0","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1963-07","1963","07","","","","","","","","","","","28.2","","0.0","","28.2","","0","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1963-08","1963","08","","","","","","","","","","","114.6","","0.0","","114.6","","0","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1963-09","1963","09","","","","","","","","","","","57.4","","0.0","","57.4","","0","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1963-10","1963","10","","","","","","","","","","","25.4","","0.0","","25.4","","0","","","","",""
"-76.48","44.24","KINGSTON PUMPING STATION","6104175","1963-11","1963","11","","","","","","","","","","","111.0","","7.6","","118.6","","","M","","","",""
